,G547 N,G547 T,G576 N,G576 T,G652 N,G652 T,G659 N,G659 T,G691 N,G691 T,G696 N,G696 T,G699 N,G699 T,G761 N,G761 T,G850 N,G850 T,G871 N,G871 T,G701 N,G701 T,G013 N,G013 T,G603 N,G603 T,G026 N,G026 T,G220 N,G220 T,G575 N,G575 T,G613 N,G613 T,G702 N,G702 T,G623 N,G623 T,G645 N,G645 T,G529 N,G529 T,G648 N,G648 T,G601 N,G601 T,G727 N,G727 T,G001 N,G001 T,G243 N,G243 T,G531 N,G531 T,G612 N,G612 T,G428 N,G428 T,G699N_2*,G761T_2*
miR-362-3p,3,7,1,39,5,4,29,4,1,10,2,0,1,5,6,0,1,1,27,2,11,0,24,16,2,0,13,111,0,7,40,1,76,34,52,2,129,59,51,0,48,103,52,0,11,17,16,0,0,88,58,10,12,29,5,0,0,0,3,0
miR-362-5p,2,2,3,44,6,5,15,5,11,17,0,0,0,15,7,0,0,3,10,1,15,0,21,8,4,2,6,95,0,5,26,1,20,8,22,0,110,27,32,0,18,73,55,0,4,64,9,0,10,73,61,5,11,25,6,0,0,0,4,0
miR-363,0,2,13,31,1,7,1,0,1,14,0,0,0,1,3,0,29,1,17,2,1,2,8,36,9,0,20,91,4,28,4,3,34,29,55,3,30,107,10,0,15,25,17,0,23,71,2,0,1,4,52,17,16,54,6,0,0,0,12,0
miR-363*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
miR-365,17,41,34,442,113,37,208,49,41,217,1,11,0,31,734,5,61,88,458,99,117,25,432,120,4284,192,308,2504,63,518,6157,88,1312,158,1195,32,1170,377,5881,1,659,1390,4933,18,65,26,383,1,21,195,856,338,138,935,547,30,0,6,83,5
miR-367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-369-3p,1,12,6,32,9,3,42,1,24,1,3,1,0,1,94,0,5,9,127,26,36,11,33,76,54,4,33,155,8,9,323,3,1150,43,509,1,307,81,280,0,56,193,131,0,17,21,47,6,3,1,117,12,39,55,17,2,10,1,4,4
miR-369-5p,0,1,0,3,2,0,1,0,1,0,1,0,0,0,3,0,0,1,3,0,3,0,4,14,3,0,1,5,0,1,5,1,19,0,8,0,7,8,10,0,3,13,3,0,0,0,1,0,0,0,5,2,0,4,0,0,0,0,0,0
miR-370,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0
miR-371-3p,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-371-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
miR-372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
miR-373*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-374a,14,49,5,589,61,86,439,33,32,119,8,5,0,79,248,1,88,90,230,30,236,24,692,587,192,23,460,1532,9,63,779,12,3254,690,2395,39,1270,1270,625,0,1122,1944,796,8,268,36,119,2,2,19,1233,105,545,726,103,0,2,58,3,2
miR-374a*,0,1,0,9,5,4,22,2,2,3,0,0,0,0,24,0,5,6,21,5,12,1,18,27,19,1,19,38,4,2,137,3,169,16,116,4,88,37,107,0,35,71,153,0,6,4,17,1,1,0,39,2,28,22,33,0,0,1,0,4
miR-374b,21,35,15,50,83,90,133,31,54,47,8,5,0,44,118,1,55,27,84,42,66,22,135,79,82,7,63,49,11,32,182,20,467,145,278,14,144,80,73,0,99,107,34,4,175,17,34,3,0,6,129,11,143,39,49,0,113,17,6,4
miR-374b*,5,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,2,1,0,0,3,0,0,0,0,1,0,0,6,0,5,3,3,0,1,1,2,0,1,2,0,0,0,0,3,0,0,0,9,3,4,5,1,0,0,0,0,0
miR-375,0,76,0,58,0,2,1,0,0,170,1,0,0,2,42,7,0,4,207,71,6,0,0,6,5,29,1,147,2,201,0,0,0,12,4,3,2,16,0,1,1345,19,74,4,37,32,0,1,28,18032,239,21,31,12,34,1,0,0,9,6
miR-376a,0,3,2,1,0,1,2,0,0,3,0,0,0,0,6,1,1,1,7,8,1,0,0,3,4,2,0,0,0,0,5,0,5,2,7,0,1,2,4,0,0,5,4,0,0,0,0,1,1,18,12,3,1,4,0,0,7,1,0,0
miR-376a*,0,4,0,3,0,0,6,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,1,0,1,7,0,1,2,0,5,6,8,0,5,1,2,0,3,23,2,0,0,1,0,0,0,5,1,1,0,1,0,0,0,0,0,0
miR-376b,0,4,16,2,0,3,8,0,0,1,0,1,0,1,5,0,2,0,13,11,4,2,5,2,6,3,1,6,0,10,4,0,18,4,10,1,8,6,12,0,3,25,7,0,1,1,7,0,2,9,36,0,10,13,4,0,5,2,2,0
miR-376c,5,27,55,108,27,11,93,5,27,33,4,5,0,3,103,1,10,5,189,51,36,4,150,124,115,14,29,266,2,40,280,1,1173,60,439,4,381,193,463,0,217,610,530,1,53,18,77,0,12,59,504,30,95,77,28,0,28,2,16,1
miR-377,0,1,15,14,3,1,12,2,11,3,1,0,1,3,1,0,0,0,14,2,4,0,15,4,2,2,2,73,1,5,17,1,135,8,91,3,66,17,19,0,20,96,12,0,11,6,4,0,4,8,59,5,7,8,1,0,17,0,3,0
miR-377*,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,1,0,0,0,2,1,1,1,3,5,1,0,3,4,0,0,0,3,0,0,7,0,2,2,0,2,0,0,0,0,0,0
miR-378,24,14,107,268,126,155,147,18,318,406,26,2,13,22,1241,12,20,19,572,16,83,5,187,22,607,21,97,2227,195,61,1796,13,339,411,224,8,645,237,1431,41,377,765,2772,3,201,651,325,1,147,59,2091,136,99,227,474,9,3,0,1262,0
miR-378*,0,4,4,27,1,10,2,2,3,50,0,0,1,9,6,1,1,0,1,0,3,0,4,2,13,5,8,254,6,39,26,2,18,17,31,2,25,46,28,4,95,57,29,0,4,48,5,0,3,26,57,35,6,40,3,1,0,0,23,0
miR-379,1,2,10,1,7,0,8,1,10,2,0,0,0,2,4,0,1,0,7,1,9,2,7,4,7,0,2,17,0,1,14,0,69,1,31,0,37,3,15,0,7,33,17,0,4,1,3,1,3,3,41,3,4,3,0,0,0,0,4,0
miR-379*,0,0,0,2,1,0,4,0,1,1,0,1,0,0,5,0,0,1,7,0,3,1,4,3,1,0,1,11,0,1,11,0,75,1,25,1,14,5,8,0,4,25,4,0,1,0,2,0,0,0,11,0,7,3,1,0,0,0,0,0
miR-380,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,3,0,2,2,3,1,0,0,0,6,0,0,3,1,25,0,15,0,5,3,3,0,0,21,1,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0
miR-380*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-381,1,1,10,21,5,0,11,0,2,2,0,1,0,2,3,0,2,1,5,3,3,2,18,11,14,3,10,123,1,13,30,0,138,7,77,1,36,28,29,0,15,238,31,0,9,7,4,5,3,17,45,1,20,14,3,0,0,0,1,1
miR-382,0,2,5,8,0,0,2,1,6,1,0,0,0,0,2,0,0,2,2,1,5,0,1,7,5,0,7,37,0,2,8,0,44,0,10,0,38,17,9,0,17,37,10,0,1,29,6,0,17,3,27,6,2,12,1,0,0,0,2,0
miR-383,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,29,0,6,0,0,0,10,0,0,0,0,0,20,0,4,0,0,0,0,0,14,0,0,0
miR-409-3p,0,2,2,9,0,0,5,0,7,0,0,1,0,0,1,1,1,3,5,1,1,0,1,10,5,1,4,31,0,4,15,2,39,9,37,2,58,23,11,3,4,61,4,0,2,25,2,0,4,6,17,4,0,12,1,0,3,0,3,0
miR-409-5p,0,4,0,12,0,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,1,0,4,17,0,0,7,8,0,1,2,0,10,8,9,0,4,15,1,0,5,12,1,0,0,20,0,0,1,0,8,3,0,6,0,0,0,0,0,0
miR-410,0,0,1,2,0,0,3,1,2,0,0,0,0,0,1,0,2,0,3,0,1,0,0,1,2,0,0,9,1,1,3,0,23,3,15,0,8,3,4,0,2,22,3,0,1,0,1,0,0,1,2,0,3,3,0,0,1,0,0,0
miR-411,1,2,0,6,0,0,8,0,0,1,0,0,0,1,12,1,1,2,15,15,6,2,5,12,8,12,8,19,0,13,18,0,93,1,77,0,39,18,46,0,29,104,41,0,2,0,3,0,0,13,16,4,11,4,1,0,0,0,0,1
miR-411*,0,0,0,1,0,1,6,0,0,0,0,0,0,1,4,0,1,0,5,0,3,1,2,4,4,1,0,7,0,2,18,0,91,2,21,0,37,8,7,0,8,34,5,0,2,1,0,0,0,1,7,1,4,1,1,0,1,0,0,1
miR-421,0,2,1,33,10,6,27,6,11,12,1,1,0,4,8,0,5,4,5,3,11,1,10,4,8,1,1,143,0,1,32,0,34,11,48,1,106,34,7,0,35,189,11,0,4,6,2,1,0,10,110,10,9,52,1,0,1,2,0,0
miR-423-3p,5,13,10,22,18,5,7,2,4,1,3,0,0,15,12,0,1,14,6,3,8,1,23,7,24,1,15,238,1,6,9,1,18,7,29,2,37,16,14,0,21,72,21,0,11,31,10,1,78,60,253,34,15,50,2,0,2,0,11,0
miR-423-5p,26,26,75,176,82,49,136,10,119,41,18,12,6,134,230,32,41,113,84,96,35,3,158,208,473,105,223,1385,17,274,170,34,208,374,587,19,814,840,498,71,471,1241,437,20,132,329,75,56,190,406,1149,429,192,421,67,62,6,19,201,19
miR-424,15,80,1065,1088,54,40,1033,84,123,44,225,12,26,39,3919,11,48,29,6383,487,229,56,674,1307,417,80,572,2537,9,374,3463,34,12159,639,1683,42,1939,794,1362,7,8970,2776,4295,8,3164,671,783,24,310,41,20388,827,3364,640,1522,20,1047,39,1125,31
miR-424*,6,2,113,29,3,8,109,3,12,7,11,10,0,3,453,6,4,3,970,403,30,11,88,58,190,65,73,110,3,126,791,7,1907,26,154,7,397,58,367,5,839,165,750,8,392,92,60,12,114,20,2425,88,401,61,142,14,33,1,341,55
miR-425,0,37,4,293,5,23,11,21,6,25,0,0,0,160,4,2,13,22,10,6,4,1,7,21,5,2,42,874,3,24,9,3,13,83,62,11,51,434,6,2,163,875,11,3,13,188,2,4,3,93,103,133,9,391,7,3,7,141,15,1
miR-425*,4,7,8,70,6,35,30,8,7,36,0,4,2,23,64,10,8,18,49,37,17,1,76,39,89,104,27,888,1,263,177,69,173,103,205,4,403,176,145,33,165,945,204,26,31,84,36,49,12,615,253,99,50,138,16,44,5,7,43,7
miR-429,0,32,0,128,0,16,0,24,1,24,2,0,0,21,44,0,2,6,24,5,0,0,0,18,0,7,1,580,0,25,0,7,1,50,3,3,3,67,6,2,279,339,14,0,82,17,0,1,0,0,113,22,64,56,30,1,0,4,0,1
miR-431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,1,0,1,0,2,0,2,2,0,0,0,4,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0
miR-431*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-432,0,6,5,10,4,4,9,0,9,6,0,8,0,0,12,0,0,0,28,28,3,1,6,5,29,11,0,133,4,27,86,2,117,5,97,0,108,6,60,0,6,273,35,0,2,7,10,5,3,186,37,1,0,11,11,2,0,0,3,6
miR-432*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-433,1,0,6,0,0,1,2,0,2,0,0,0,0,0,1,0,0,0,1,2,1,0,2,1,2,0,1,28,0,1,4,0,9,0,9,0,30,2,1,0,3,46,0,0,0,1,1,0,1,18,19,0,2,2,1,0,0,0,0,0
miR-449a,0,0,0,0,0,0,0,0,0,3,2,0,1,1,18,0,0,0,2,0,1,1,0,2,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,46,0,0,0,19,0,0,0,0,1,28,0,1,0,11,0,0,0,1,0
miR-449b,0,0,0,0,0,0,0,0,1,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,3,0,0,0,0,3,160,2,0,0,30,0,0,0,0,0
miR-450a,3,8,137,123,16,7,312,5,32,15,19,3,5,8,729,2,12,16,367,18,136,24,163,259,64,19,274,454,1,19,808,5,4437,141,753,15,1315,221,258,3,2005,703,510,1,534,272,122,0,122,17,5995,192,946,275,239,4,0,0,210,6
miR-450b-3p,0,1,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,3,1,0,0,1,2,1,0,1,3,0,0,4,0,16,1,1,0,0,0,0,0,4,5,2,0,1,3,0,0,1,0,12,1,0,0,2,0,1,0,1,0
miR-450b-5p,0,0,4,25,1,0,40,0,1,2,5,1,0,1,142,0,3,4,63,16,7,2,11,44,13,3,69,50,0,12,128,3,801,21,137,0,111,30,53,0,275,76,60,0,50,9,3,4,0,1,269,11,113,43,14,0,0,0,1,0
miR-451,105,220,143,171,1454,496,534,457,104,240,78,1,14,192,443,2,5122,668,66,30,41,15,568,628,550,54,5145,11266,1079,43,409,95,331,519,2695,204,3623,1114,587,1,2097,2386,127,9,1914,257,45,22,6,25,5935,1050,1513,2123,482,1,172,18,188,5
miR-452,0,8,19,58,2,11,7,22,6,6,0,0,0,0,7,2,7,2,12,3,3,0,18,27,9,3,11,476,1,8,22,11,43,30,61,0,56,49,34,3,15,224,25,4,9,96,7,0,3,7,68,48,4,156,8,5,0,0,6,2
miR-452*,0,1,3,6,0,3,2,2,1,5,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-454,1,7,1,33,22,15,35,6,7,9,2,1,0,10,4,0,2,2,7,2,16,0,16,6,15,0,0,160,1,3,26,0,24,4,36,0,64,14,20,0,12,131,28,0,3,5,5,0,2,39,61,0,9,19,2,0,0,0,1,0
miR-454*,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,1,0,2,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
miR-455-3p,2,23,32,272,5,7,84,21,18,17,2,1,0,10,70,2,3,48,168,27,64,18,86,318,60,60,30,1711,2,280,159,24,1259,80,127,15,174,324,138,0,188,1290,156,4,30,53,42,0,0,9,372,169,48,391,23,19,1,0,5,1
miR-455-5p,1,12,25,89,5,2,34,7,4,15,3,0,0,14,8,0,1,4,46,5,51,9,15,34,21,5,4,368,0,9,37,0,260,10,26,2,91,43,47,1,72,271,119,1,6,34,7,0,0,1,182,40,17,79,2,1,0,0,3,0
miR-483-3p,0,0,0,3,3,0,1,0,0,0,0,1,0,1,4,0,3,1,4,4,1,0,3,4,23,1,10,14,0,16,1,0,3,2,32,0,2,0,54,0,29,7,28,0,7,0,1,0,0,2,12,0,15,0,4,0,0,0,6,0
miR-483-5p,8,1,5,10,12,0,8,1,4,3,1,1,1,29,4,17,4,1,7,7,0,0,4,14,14,14,23,80,0,42,1,0,18,2,65,0,41,3,23,8,177,89,23,1,27,30,0,4,1,48,150,13,72,5,2,0,5,3,9,1
miR-484,15,69,27,1156,57,65,45,85,36,66,2,2,2,304,41,1,41,105,40,14,19,12,47,162,83,18,398,2408,10,97,88,1,131,172,214,52,279,2634,89,2,1644,1229,52,4,36,834,32,25,7,279,399,1713,57,1802,9,3,1,35,33,0
miR-485-3p,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,0,1,0,0,0,1,0,0,5,2,0,0,7,0,0,0,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0
miR-485-5p,0,2,8,2,0,77,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,18,0,0,6,3,0,1,1,0,10,3,7,3,3,5,1,0,4,4,5,0,0,3,1,0,10,1,9,1,3,4,1,15,0,0,1,0
miR-486-3p,0,0,0,1,1,0,0,82,0,0,0,0,0,6,1,1,5,0,1,3,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,1,0,1,6,1,2,0,1,1,0,0,0,1,0
miR-486-5p,45,11,74,16,220,0,15,17,20,32,6,2,17,50,64,2,1258,37,2,11,14,11,33,12,234,69,59,243,407,52,11,18,10,20,69,20,78,41,40,0,30,60,4,8,155,19,5,50,14,101,81,36,117,30,81,0,1,0,524,4
miR-487a,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,0,2,0,0,4,0,0,0,5,1,1,0,0,6,3,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0
miR-487b,0,2,4,5,3,2,5,0,4,0,0,0,0,0,7,0,1,0,12,1,3,1,10,7,9,2,2,23,0,3,16,0,53,2,31,1,37,11,14,1,11,44,10,0,0,2,7,0,8,21,32,1,8,7,0,0,1,0,1,0
miR-488,0,0,0,2,1,4,3,0,0,0,1,0,0,1,25,0,0,0,8,3,0,0,7,1,2,0,16,13,0,2,15,0,38,0,16,0,14,0,13,0,137,15,72,0,11,8,3,1,11,162,80,0,13,1,12,0,0,0,18,1
miR-488*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-489,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
miR-490-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
miR-490-5p,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,4,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0
miR-491-3p,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,1,1,1,0,1,0,2,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-491-5p,0,0,1,3,4,0,1,1,1,1,0,0,0,2,5,0,1,1,0,0,0,0,3,0,3,0,1,9,0,0,0,0,2,0,7,0,5,1,2,0,5,8,4,0,2,7,1,0,0,0,10,2,3,0,2,0,0,0,0,0
miR-492,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-493,0,5,1,2,0,0,5,1,0,1,0,0,0,0,1,0,0,2,8,1,8,1,2,4,4,1,1,54,1,1,17,1,50,6,33,1,54,3,17,0,3,84,17,0,3,2,1,1,4,12,34,0,6,2,1,0,0,0,0,0
miR-493*,1,1,1,8,0,0,15,0,4,2,0,2,0,1,8,0,1,1,31,4,16,1,11,10,11,3,7,95,1,3,59,0,277,8,101,1,205,19,90,0,24,212,80,0,12,3,6,0,1,3,45,0,10,13,2,0,0,0,6,1
miR-494,1,2,2,4,4,0,4,0,2,3,0,0,0,0,8,0,0,1,20,0,2,0,4,11,9,0,1,38,0,0,23,0,32,6,30,1,17,15,17,0,5,68,22,0,4,3,5,1,2,5,21,0,10,6,1,0,0,0,0,0
miR-495,1,6,10,23,2,0,21,1,5,4,2,0,0,0,4,0,2,3,14,2,38,0,9,29,12,0,9,150,0,7,15,0,122,3,58,3,198,55,36,0,89,214,50,0,6,28,10,1,2,8,111,11,27,25,2,0,171,6,7,0
miR-496,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,9,0,0,1,0,8,1,3,0,4,1,0,0,0,9,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
miR-497,28,16,59,143,81,14,183,5,54,11,10,3,2,18,118,4,6,5,256,33,121,7,351,72,139,6,69,243,6,115,462,1,574,57,485,2,547,61,404,2,216,707,821,0,83,80,254,2,59,51,785,45,105,45,28,0,283,40,54,1
miR-497*,2,0,2,0,5,2,20,0,17,2,3,0,0,0,14,0,1,0,14,3,6,0,14,2,8,2,2,17,0,0,34,0,63,0,26,0,106,2,18,0,2,33,32,0,5,1,4,0,0,2,186,0,5,0,3,0,33,0,2,0
miR-498,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
miR-499-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-499-5p,1,2,2,15,6,7,18,0,3,6,0,0,0,2,8,1,0,0,14,2,11,0,28,2,10,0,5,22,35,0,34,0,118,10,58,0,72,11,46,0,18,26,67,0,7,6,2,1,2,42,104,24,20,5,9,1,0,0,3,0
miR-500,1,4,0,26,8,2,19,1,3,22,0,0,0,7,3,0,0,1,8,0,5,2,10,2,9,0,1,75,0,4,21,0,11,4,11,0,41,13,23,0,22,67,22,0,5,12,3,0,1,138,32,5,2,22,1,0,0,0,2,0
miR-500*,0,0,1,4,2,0,5,0,3,2,2,1,0,2,5,0,5,3,7,2,1,0,4,2,4,1,3,4,0,5,3,1,4,3,3,4,2,6,2,0,3,4,0,0,5,15,5,1,15,49,5,0,5,0,4,1,0,0,11,0
miR-501-3p,0,5,0,27,0,0,3,1,0,2,0,0,0,6,3,0,1,5,7,2,1,0,10,19,6,0,37,22,0,1,7,0,5,44,10,4,21,122,6,0,45,11,7,0,1,30,1,1,0,35,8,37,0,32,0,0,0,1,1,0
miR-501-5p,0,3,0,21,0,0,2,1,2,0,0,0,0,8,1,0,1,1,5,0,4,0,6,2,3,0,11,37,0,0,10,1,5,10,6,1,16,27,13,0,41,23,8,0,1,30,3,0,2,97,15,7,3,31,0,0,0,0,3,0
miR-502-3p,1,2,6,2,5,2,7,1,4,6,0,0,1,3,6,0,5,1,7,6,1,1,8,4,10,1,2,2,1,7,9,1,6,3,5,0,11,5,12,0,12,3,9,0,3,7,4,0,9,44,8,3,5,4,1,0,1,0,13,0
miR-502-5p,0,0,0,7,0,2,12,3,2,7,0,0,0,0,1,0,0,0,2,1,5,1,3,2,0,0,0,23,0,0,9,0,5,1,3,1,28,7,10,0,8,27,22,0,1,4,6,0,0,5,15,1,2,4,1,0,0,0,0,0
miR-503,0,7,70,107,6,21,86,7,18,46,8,0,1,15,257,1,1,2,321,69,15,6,11,93,68,15,62,220,1,33,212,4,407,29,61,7,197,81,50,0,309,215,79,0,44,85,26,1,7,78,1425,209,58,100,34,1,3,5,28,4
miR-504,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,6,0,19,1,0,1,0,0,1,1,5,0,0,0,2,0,6,0,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0
miR-505,2,3,3,56,5,5,31,2,9,4,0,0,0,13,18,0,10,20,40,9,3,1,23,51,31,4,60,135,3,24,110,8,126,146,191,16,105,376,131,1,169,235,112,3,12,36,15,5,6,28,81,92,38,71,46,4,1,10,35,0
miR-505*,3,1,1,5,0,2,7,0,0,3,0,0,0,9,0,0,1,0,0,0,7,0,4,22,1,1,1,29,0,0,1,0,7,6,27,3,30,27,4,1,32,27,5,0,3,20,0,0,1,8,97,8,8,17,1,0,0,0,0,1
miR-506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
miR-507,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,7,0,1,0,0,1,4,0,0,0,2,0
miR-508-3p,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,10,0,2,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
miR-508-5p,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,9,0,0,0,1,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0
miR-509-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
